City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,20.77000000000004,100,75,3.6,US,1691583933
1,hermanus,-34.4187,19.2345,21.0,62,0,3.75,ZA,1691584009
2,arraial do cabo,-22.9661,-42.0278,21.920000000000016,78,75,6.69,BR,1691583930
3,petropavlovsk-kamchatsky,53.0452,158.6483,14.330000000000041,72,40,2.0,RU,1691584010
4,adamstown,-25.066,-130.1015,20.439999999999998,68,93,12.14,PN,1691584010
5,thompson,55.7435,-97.8558,9.090000000000032,87,75,3.09,CA,1691583972
6,birao,10.2849,22.7882,27.650000000000034,74,79,3.61,CF,1691584010
7,longyearbyen,78.2186,15.6401,9.910000000000025,71,0,5.66,SJ,1691584010
8,atar,20.5169,-13.0499,39.03000000000003,19,8,6.17,MR,1691584010
9,hammerfest,70.6634,23.6821,26.25,61,20,4.63,NO,1691584010
10,kilju,40.9642,129.3278,20.5,94,100,2.47,KP,1691584010
11,waitangi,-43.9535,-176.5597,8.79000000000002,77,89,3.58,NZ,1691584011
12,tiksi,71.6872,128.8694,17.420000000000016,50,35,4.2,RU,1691584011
13,udachny,66.4167,112.4,25.25,35,0,7.13,RU,1691584011
14,albany,42.6001,-73.9662,20.33000000000004,82,99,1.79,US,1691584011
15,minas de marcona,-15.2119,-75.1103,12.29000000000002,86,79,3.52,PE,1691584011
16,puerto natales,-51.7236,-72.4875,0.8799999999999955,97,100,1.43,CL,1691583845
17,port moresby,-9.4431,147.1797,22.180000000000007,75,25,6.23,PG,1691584011
18,fale old settlement,-9.3852,-171.2468,28.210000000000036,78,59,6.31,TK,1691584011
19,bredasdorp,-34.5322,20.0403,18.83000000000004,60,0,4.78,ZA,1691584011
20,edinburgh of the seven seas,-37.0676,-12.3116,11.700000000000045,62,100,8.62,SH,1691584012
21,tuy hoa,13.0833,109.3,30.57000000000005,63,81,3.27,VN,1691584012
22,brokopondo,4.75,-55.1667,26.310000000000002,78,83,3.98,SR,1691584012
23,klyuchi,52.2667,79.1667,28.55000000000001,29,8,1.93,RU,1691584012
24,port-aux-francais,-49.35,70.2167,2.4399999999999977,75,13,8.92,TF,1691584012
25,tsiombe,-25.3,45.4833,24.860000000000014,60,11,6.04,MG,1691584012
26,kununurra,-15.7667,128.7333,20.99000000000001,60,27,2.06,AU,1691583878
27,nogliki,51.8333,143.1667,11.75,96,82,4.11,RU,1691584012
28,nadi,-17.8,177.4167,23.0,83,75,2.06,FJ,1691584012
29,riviere-du-loup,47.8304,-69.5342,15.150000000000034,94,100,2.57,CA,1691583865
30,xinyuan,37.3,99.0,13.370000000000005,85,99,1.73,CN,1691584012
31,isafjordur,66.0755,-23.124,11.020000000000039,66,0,2.06,IS,1691584013
32,bethel,41.3712,-73.414,22.340000000000032,73,0,3.6,US,1691583845
33,putten,52.25,5.6,22.170000000000016,66,99,0.89,NL,1691584013
34,wailua homesteads,22.0669,-159.378,26.439999999999998,80,100,11.32,US,1691584013
35,ilulissat,69.2167,-51.1,8.010000000000048,66,20,2.06,GL,1691584013
36,naryn,41.4287,75.9911,25.840000000000032,20,8,4.5,KG,1691584013
37,lieksa,63.3167,30.0167,18.610000000000014,80,100,0.56,FI,1691584013
38,iqaluit,63.7506,-68.5145,5.850000000000023,93,100,5.14,CA,1691584013
39,hithadhoo,-0.6,73.0833,27.79000000000002,71,71,0.49,MV,1691584014
40,blackmans bay,-43.0167,147.3167,9.740000000000009,64,100,3.21,AU,1691584014
41,atafu village,-8.5421,-172.5159,28.120000000000005,80,58,6.18,TK,1691584014
42,yanbu,24.0891,38.0637,39.02000000000004,47,0,10.8,SA,1691584014
43,bilibino,68.0546,166.4372,7.310000000000002,63,98,2.02,RU,1691584014
44,whitehorse,60.7161,-135.0538,10.170000000000016,76,40,4.02,CA,1691583824
45,carnarvon,-24.8667,113.6333,20.53000000000003,70,7,6.46,AU,1691584014
